,name,district,acres,Location 1,Latitude,Longitude
0,32nd Street Park,Clifton,0.1342,"301 32nd St
Baltimore, MD
",39.3270292,-76.6131584
1,Adams Park,Clifton,0.51,"1530 Montpelier St
Baltimore, MD
",39.3215168,-76.5976606
2,Alexander Odum Park,Gwynns Falls,1.155,"3111 Presstman St
Baltimore, MD
",39.303944,-76.669828
3,Alhambra Park,Clifton,0.8905,"5200 Alhambra Ave
Baltimore, MD
",39.3522093,-76.6057687
4,Ambrose Kennedy Park,Patterson,1.7306,"1002 Harford Rd
Baltimore, MD
",39.3021145,-76.6034226
5,Anchorage Promenade Park,Patterson,0.26,"2339 Boston St
Baltimore, MD
",39.282535,-76.584673
6,Andover & North Hill Park,Clifton,0.59,"1116 Andover Rd
Baltimore, MD
",39.3369337,-76.5997192
7,Arnold Sumpter  Park,Druid Hill,2.761,"240 Laurens St
Baltimore, MD
",39.308983,-76.6302539
8,Asbury Park,Druid Hill,1.219,"1322 Asbury Rd
Baltimore, MD
",39.370879,-76.6515019
9,Atlantic Ave Park,Carroll,1.481,"2304 Atlantic Ave
Baltimore, MD
",39.260698,-76.648469
10,B & O Museum Park,Gwynns Falls,0.3791,"906 Pratt St
Baltimore, MD
",39.286099,-76.632313
11,B & O Slope Park,Carroll,0.757,"1400 Cathedral St
Baltimore, MD
",39.3057187,-76.6200466
12,Baltimore Neighborhood Special Rec Facility,Druid Hill,1.363,"1601 Pennsylvania Ave
Baltimore, MD
",39.3032733,-76.6337791
13,Barbara & Parkwood Park,Clifton,6.723,"5101 Mayview Ave
Baltimore, MD
",39.3320854,-76.548041
14,Barclay Park,Clifton,1.9159,"2201 Calvert St
Baltimore, MD
",39.314365,-76.6139624
15,Battle Monument Park,Carroll,0.1976,"200 Calvert St
Baltimore, MD
",39.2346437,-76.6103851
16,Belnor Squares Park,Patterson,0.6486,"2800 Pulaski Hwy
Baltimore, MD
",39.295124,-76.577361
17,Belvedere & Sunset St Park,Druid Hill,0.082,"2500 Belvedere Ave
Baltimore, MD
",39.3535752,-76.666899
18,Betty Hyatt Park,Patterson,1.562,"1710 Baltimore St
Baltimore, MD
",39.288442,-76.6441401
19,Bishop Square Park,Clifton,0.6211,"University Ave
Baltimore, MD
",39.3375567,-76.6258868
20,Bocek Park,Patterson,16.509,"3000 Madison St
Baltimore, MD
",39.301437,-76.57459
21,Bonview Park,Clifton,0.3814,"3800 Sinclair La
Baltimore, MD
",39.31395,-76.563428
22,Boston Street Pier Park,Patterson,0.716,"2601 Boston St
Baltimore, MD
",39.2793575,-76.5799626
23,Bucknell & Moores Park,Clifton,0.336,"5400 Bucknell Rd
Baltimore, MD
",39.3315161,-76.5341819
24,Buena Vista  Park,Druid Hill,2.817,"4001 Buena Vista Ave
Baltimore, MD
",39.3353245,-76.6407622
25,Burdick Park,Clifton,10.451,"6300 Walther Ave
Baltimore, MD
",39.3535487,-76.5426611
26,C.C. Jackson Rec Wing,Druid Hill,3.01,"4910 Park Heights Ave
Baltimore, MD
",39.3467558,-76.6734099
27,Calvert & Federal Park,Patterson,0.196,"1601 Calvert St
Baltimore, MD
",39.308026,-76.613326
28,Calvert & Madison Park,Carroll,0.1147,"801 Calvert St
Baltimore, MD
",39.2326346,-76.6042253
29,Camp Small Park,Druid Hill,1.842,"2007 Old Cold Spring La
Baltimore, MD
",39.3446596,-76.644863
30,Canton Waterfront Park,Patterson,7.96,"3001 Boston St
Baltimore, MD
",39.2778402,-76.5738863
31,Carlton St Park,Gwynns Falls,0.2309,"115 Carlton St
Baltimore, MD
",39.2905288,-76.6359283
32,Caroline & Hoffman Park,Patterson,0.603,"1351 Eden St
Baltimore, MD
",39.306171,-76.598903
33,Carroll & Archer Park,Carroll,0.079,"838 Carroll St
Baltimore, MD
",39.2821973,-76.6302149
34,Castle St Park,Patterson,0.657,"2025 Fairmount Ave
Baltimore, MD
",39.292381,-76.58832
35,Catherine Street Park,Carroll,2.0168,"2311 Ashton St
Baltimore, MD
",39.2813685,-76.6526931
36,Cecil Kirk Rec Center,Clifton,0.2085,"909 22nd St
Baltimore, MD
",39.3141466,-76.6057543
37,Chestnut Hill Park,Clifton,0.3059,"601 Chestnut Hill Ave
Baltimore, MD
",39.3340198,-76.607523
38,Chick Webb Memorial Rec Center,Patterson,0.795,"623 Eden St
Baltimore, MD
",39.2973069,-76.5993814
39,Chinquapin Run Park,Clifton,76.6239,"6000 Chinquapin Pkwy
Baltimore, MD
",39.3661042,-76.5985778
40,City Springs Park,Patterson,3.4691,"1600 Baltimore St
Baltimore, MD
",39.2885532,-76.6425011
41,Clifton Park,Clifton,265.84,"2801 Harford Rd
Baltimore, MD
",39.3212611,-76.590497
42,Coldstream Park,Clifton,3.036,"1401 Filmore St
Baltimore, MD
",39.3213057,-76.5998685
43,Collington Sq Park,Patterson,5.1345,"2131 Hoffman St
Baltimore, MD
",39.3066626,-76.5879579
44,Columbus Park,Patterson,0.675,"300 President St
Baltimore, MD
",39.2856929,-76.6034039
45,Congressional Medal Of Honor Traffic Island,Druid Hill,0.291,"1100 Park Ave
Baltimore, MD
",39.304553,-76.621124
46,Contee-Parago Traffic Island,Druid Hill,0.2709,"280 Dolphin St
Baltimore, MD
",39.3042496,-76.6232737
47,Conway Street Park,Carroll,2.004,"601 Conway St
Baltimore, MD
",39.2826953,-76.6234581
48,Cottage Ave Park,Druid Hill,0.5331,"3700 Cottage Ave
Baltimore, MD
",39.331498,-76.658951
